티커,영문명,한국명,테마/섹터,설명,현재가(₩),RSI(14),52주고가(₩),52주저가(₩),52주고점대비(%),거래량비율(전일/20일평균),PER(후행),목표주가(₩),업사이드(%),MA60(₩),MA60차이(%),MA60근접,MA120(₩),MA120차이(%),MA120근접,MA240(₩),MA240차이(%),MA240근접,추세,추세점수
251270,Netmarble,넷마블,게임,모바일 게임 글로벌 퍼블리셔,50400,47.7,66962,40276,-24.7,0.83,,71262.0,41.4,52186,-3.42,,51378,-1.9,O,54330,-7.23,,하락,2
293490,Krafton,크래프톤,게임,배틀그라운드(PUBG) 개발사,12350,44.8,23500,11510,-47.4,0.6,,,,13862,-10.91,,14731,-16.16,,15605,-20.86,,강하락,0
352820,HYBE Co.,하이브,엔터테인먼트,BTS 소속 K-POP 최대 기획사,252000,35.9,403928,222685,-37.6,0.57,,416077.0,65.1,328104,-23.2,,322195,-21.79,,301734,-16.48,,하락,2
041510,SM Entertainment,SM엔터테인먼트,엔터테인먼트,EXO·aespa K-POP 기획사,93200,51.0,148935,83000,-37.4,0.82,,,,100717,-7.46,,105365,-11.55,,118369,-21.26,,강하락,0
035900,JYP Entertainment,JYP엔터테인먼트,엔터테인먼트,TWICE·Stray Kids K-POP 기획사,63500,53.7,83841,57308,-24.3,0.95,,,,65068,-2.41,,67271,-5.61,,70490,-9.92,,강하락,0
122870,YG Entertainment,YG엔터테인먼트,엔터테인먼트,BLACKPINK·BIGBANG K-POP 기획사,54600,47.4,106900,49900,-48.9,0.37,,,,62548,-12.71,,64770,-15.7,,77126,-29.21,,강하락,0
055550,Shinhan Financial Group,신한지주,금융지주,신한은행 계열 종합금융그룹,100000,60.6,105090,44465,-4.8,1.07,,118220.0,18.2,94196,6.16,,85878,16.44,,74602,34.04,,강상승,5
105560,KB Financial Group,KB금융,금융지주,국민은행 계열 종합금융그룹,157400,54.3,167184,72666,-5.9,1.01,,185450.0,17.8,151987,3.56,,138514,13.63,,122940,28.03,,강상승,5
086790,Hana Financial Group,하나금융지주,금융지주,하나은행 계열 종합금융그룹,123300,62.4,129877,52946,-5.1,1.04,,135762.0,10.1,114874,7.33,,103667,18.94,,91859,34.23,,강상승,5
316140,Woori Financial Group,우리금융지주,금융지주,우리은행 계열 종합금융그룹,35050,56.9,40005,15149,-12.4,0.89,,39074.0,11.5,33808,3.67,,30305,15.66,,26438,32.57,,강상승,5
024110,Industrial Bank of Korea,기업은행,은행,중소기업 전문 국책은행,22350,50.5,27279,13367,-18.1,0.68,,23353.0,4.5,22626,-1.22,O,21134,5.75,,19369,15.39,,상승,4
016360,Samsung Securities,삼성증권,증권,삼성그룹 계열 대형 증권사,111600,62.2,114500,41512,-2.5,0.7,,122667.0,9.9,99408,12.26,,87963,26.87,,76557,45.77,,강상승,5
006800,Mirae Asset Securities,미래에셋증권,증권,"국내 1위 증권사, 해외 진출",66900,50.8,72747,8955,-8.0,0.56,,64953.0,-2.9,62201,7.55,,43307,54.48,,31141,114.83,,강상승,5
047050,Korea Investment Holdings,한국금융지주,금융지주,한국투자증권 계열 금융지주,81300,60.8,85100,44535,-4.5,0.72,,87000.0,7.0,71935,13.02,,62503,30.07,,55749,45.83,,강상승,5
005490,POSCO Holdings,POSCO홀딩스,철강·소재,"국내 1위 철강, 이차전지 소재",415000,69.2,421500,225903,-1.5,0.73,,436391.0,5.2,362716,14.41,,338417,22.63,,308043,34.72,,강상승,5
004020,Hyundai Steel,현대제철,철강,"현대차 계열 철강, 전기로·고로",42500,65.0,45836,22080,-7.3,2.72,,44587.0,4.9,35776,18.79,,33220,27.93,,32366,31.31,,강상승,5
010130,Korea Zinc,고려아연,비철금속,아연 세계 1위 제련·이차전지 소재,1642000,51.9,2115000,668456,-22.4,0.56,,1885000.0,14.8,1673600,-1.89,O,1475299,11.3,,1167014,40.7,,상승,4
011170,Lotte Chemical,롯데케미칼,화학,기초화학·첨단소재,96700,67.2,96700,55630,0.0,1.69,,92765.0,-4.1,82505,17.21,,78081,23.85,,71040,36.12,,강상승,5
011780,Kumho Petrochem,금호석유,화학,합성고무·합성수지 전문,133400,52.4,153400,102163,-13.0,1.05,,165067.0,23.7,133345,0.04,O,127726,4.44,,120091,11.08,,상승,4
042660,Hanwha Ocean,한화오션,조선,"전 대우조선해양, 잠수함·LNG선",134900,57.4,149900,73100,-10.0,0.77,,161900.0,20.0,130947,3.02,,127421,5.87,,112176,20.26,,상승,4
009540,HD Hyundai Heavy Industri,HD현대중공업,조선,세계 1위 조선사 계열,476000,71.4,476000,214785,0.0,1.16,,566812.0,19.1,405193,17.47,,413056,15.24,,383316,24.18,,하락,2
000720,Hyundai E&C,현대건설,건설,국내 1위 건설사,173000,55.4,188700,37999,-8.3,0.55,,180316.0,4.2,146848,17.81,,110411,56.69,,86493,100.02,,강상승,5
006360,GS Engineering & Construc,GS건설,건설,GS그룹 건설 계열사,40750,65.2,43100,15960,-5.5,0.43,,34278.0,-15.9,26363,54.57,,22528,80.89,,21005,94.0,,강상승,5
047810,Korea Aerospace Industrie,한국항공우주,항공우주·방산,국산 전투기(KF-21)·헬기 제조,171400,40.1,201420,76380,-14.9,3.8,,185909.0,8.5,179189,-4.35,,149574,14.59,,121554,41.01,,상승,4
079550,LIG Nex1,LIG넥스원,방산,미사일·레이더 방산 전문,989000,65.0,1020000,267920,-3.0,0.67,,791000.0,-20.0,682141,44.98,,562441,75.84,,530449,86.45,,강상승,5
272210,Hanwha Systems,한화시스템,방산·IT,방산 전자·ICT 서비스,130400,50.1,162104,35569,-19.6,0.57,,86875.0,-33.4,124488,4.75,,91902,41.89,,72584,79.65,,강상승,5
000150,Doosan Corporation,두산,지주·방산,"두산그룹 지주, 로봇·방산",1541000,71.7,1541000,269528,0.0,0.96,,1521000.0,-1.3,1110712,38.74,,987265,56.09,,776105,98.56,,강상승,5
034020,Doosan Enerbility,두산에너빌리티,에너지기계,원자력·가스터빈 발전설비,127100,74.0,127100,23350,0.0,1.42,,121579.0,-4.3,100270,26.76,,90716,40.11,,75026,69.41,,강상승,5
030200,KT Corporation,KT,통신,"유선·무선통신, IPTV, 클라우드",61700,50.5,68289,45807,-9.6,0.83,,71905.0,16.5,60646,1.74,O,55901,10.37,,53684,14.93,,강상승,5
010950,S-Oil,S-Oil,정유,"국내 3위 정유, 아람코 계열",119400,55.2,140862,50443,-15.2,0.74,,123056.0,3.1,112195,6.42,,97717,22.19,,79001,51.14,,강상승,5
015760,Korea Electric Power (KEP,한국전력,유틸리티,국내 전력 공급 독점 공기업,46200,51.8,67900,22414,-32.0,0.65,,65500.0,41.8,50943,-9.31,,50223,-8.01,,42206,9.46,,중립,3
139480,E-MART,이마트,유통,국내 1위 할인마트,105400,65.2,124345,69384,-15.2,0.91,,130615.0,23.9,97203,8.43,,88116,19.62,,84726,24.4,,강상승,5
001040,CJ Corporation,CJ,지주사,식품·물류·바이오·엔터 지주,218000,61.6,228229,111655,-4.5,0.72,,240000.0,10.1,201336,8.28,,188140,15.87,,171840,26.86,,강상승,5
097950,CJ CheilJedang,CJ제일제당,식품·바이오,식품 1위·바이오 아미노산 세계 1위,236000,59.0,264035,190000,-10.6,0.51,,275375.0,16.7,217955,8.28,,215286,9.62,,225473,4.67,,상승,4
000080,Hite Jinro,하이트진로,식품·음료,소주 1위(참이슬)·맥주(테라),17180,52.0,22000,16280,-21.9,0.64,,22556.0,31.3,17235,-0.32,O,17909,-4.07,,18840,-8.81,,강하락,0
021240,Coway,코웨이,가전·렌탈,정수기·공기청정기 렌탈 1위,85900,67.6,110132,68881,-22.0,2.05,,117091.0,36.3,77399,10.98,,80411,6.83,,88392,-2.82,,강하락,1
033780,KT&G,KT&G,담배·건강기능식품,"국내 1위 담배, 인삼공사 계열",176200,70.9,176200,101841,0.0,1.05,,193000.0,9.5,160506,9.78,,149581,17.8,,138212,27.49,,강상승,5
007070,GS Retail,GS리테일,유통,GS25 편의점·홈쇼핑,23300,60.3,23700,13272,-1.7,0.53,,24644.0,5.8,21341,9.18,,20921,11.37,,18430,26.42,,강상승,5
282330,BGF Retail,BGF리테일,유통,CU 편의점 운영,134500,53.7,147800,96035,-9.0,0.68,,155556.0,15.7,126726,6.13,,116363,15.59,,112954,19.08,,강상승,5
003490,Korean Air Lines,대한항공,항공,"국내 1위 항공사, 아시아나 합병",24850,52.5,28092,19553,-11.5,0.59,,30846.0,24.1,24177,2.78,,22949,8.28,,22778,9.1,,강상승,5
011200,HMM,HMM,해운,국내 1위 컨테이너 해운,21100,54.3,25175,17569,-16.2,1.11,,21667.0,2.7,20727,1.8,O,20101,4.97,,20899,0.96,O,상승,4
011040,CJ Logistics,CJ대한통운,물류,국내 1위 택배·물류,5630,56.8,6030,5286,-6.6,0.66,,,,5579,0.91,O,5619,0.2,O,5633,-0.05,O,강하락,1
161390,Hankook Tire & Tech,한국타이어앤테크놀로지,타이어,국내 1위 타이어 제조,62700,56.4,73937,35852,-15.2,0.83,,76188.0,21.5,61394,2.13,,59204,5.91,,49376,26.98,,강상승,5
088350,Hanwha Life Insurance,한화생명,보험,한화그룹 생명보험 계열사,4965,55.5,6600,2440,-24.8,1.21,,4570.0,-8.0,4630,7.24,,3884,27.83,,3546,40.02,,강상승,5
